Home,Away,Round,Date,1,X,2,HG,AG,Awaited,Final
Real Betis,Elche,1,15-08,1.57,4.0,5.5,3,0,1.57,1
Getafe,Atletico Madrid,1,15-08,5.5,3.1,1.83,0,3,1.83,2
Athletic Club,Mallorca,1,15-08,1.57,3.75,7.0,0,0,1.57,X
Almeria,Real Madrid,1,14-08,7.0,4.75,1.44,1,2,1.44,2
Valencia,Girona,1,14-08,1.85,3.5,4.33,1,0,1.85,1
Cadiz,Real Sociedad,1,14-08,3.8,3.0,2.15,0,1,2.15,2
Barcelona,Rayo Vallecano,1,13-08,1.22,6.5,12.0,0,0,1.22,X
Valladolid,Villarreal,1,13-08,3.3,3.4,2.2,0,3,2.2,2
Celta Vigo,Espanyol,1,13-08,1.72,3.6,4.75,2,2,1.72,X
Osasuna,Sevilla,1,12-08,3.1,3.1,2.55,2,1,2.55,1
Girona,Getafe,2,22-08,2.3,2.87,3.75,3,1,2.3,1
Elche,Almeria,2,22-08,2.3,3.2,3.3,1,1,2.3,X
Real Sociedad,Barcelona,2,21-08,3.5,3.4,2.1,1,4,2.1,2
Atletico Madrid,Villarreal,2,21-08,1.85,3.4,4.5,0,2,1.85,2
Athletic Club,Valencia,2,21-08,1.66,3.75,5.25,1,0,1.66,1
Celta Vigo,Real Madrid,2,20-08,5.0,4.2,1.65,1,4,1.65,2
Mallorca,Real Betis,2,20-08,3.25,3.2,2.3,1,2,2.3,2
Osasuna,Cadiz,2,20-08,1.9,3.3,4.5,2,0,1.9,1
Sevilla,Valladolid,2,19-08,1.5,4.2,7.0,1,1,1.5,X
Espanyol,Rayo Vallecano,2,19-08,2.5,3.1,3.0,0,2,2.5,2
Valencia,Atletico Madrid,3,29-08,4.2,3.3,1.95,0,1,1.95,2
Cadiz,Athletic Club,3,29-08,3.75,3.25,2.1,0,4,2.1,2
Espanyol,Real Madrid,3,28-08,5.75,4.33,1.5,1,3,1.5,2
Barcelona,Valladolid,3,28-08,1.14,9.5,15.0,4,0,1.14,1
Getafe,Villarreal,3,28-08,4.75,3.75,1.7,0,0,1.7,X
Almeria,Sevilla,3,27-08,3.4,3.4,2.2,2,1,2.2,1
Rayo Vallecano,Mallorca,3,27-08,2.05,3.3,3.8,0,2,2.05,2
Elche,Real Sociedad,3,27-08,3.75,3.3,2.05,0,1,2.05,2
Real Betis,Osasuna,3,26-08,1.8,3.6,4.33,1,0,1.8,1
Girona,Celta Vigo,3,26-08,2.75,3.1,2.7,0,1,2.7,2
Valladolid,Almeria,4,05-09,2.2,3.4,3.3,1,0,2.2,1
Valencia,Getafe,4,04-09,1.9,3.1,4.5,5,1,1.9,1
Villarreal,Elche,4,04-09,1.4,4.75,7.5,4,0,1.4,1
Athletic Club,Espanyol,4,04-09,1.5,4.2,6.5,0,1,1.5,2
Osasuna,Rayo Vallecano,4,04-09,2.1,3.0,4.0,2,1,2.1,1
Sevilla,Barcelona,4,03-09,4.5,3.75,1.72,0,3,1.72,2
Real Sociedad,Atletico Madrid,4,03-09,2.9,3.0,2.7,1,1,2.7,X
Real Madrid,Real Betis,4,03-09,1.36,5.25,7.0,2,1,1.36,1
Mallorca,Girona,4,03-09,2.1,3.1,3.9,1,1,2.1,X
Celta Vigo,Cadiz,4,02-09,1.6,3.75,6.0,3,0,1.6,1
Almeria,Osasuna,5,12-09,2.9,3.1,2.55,0,1,2.55,2
Real Betis,Villarreal,5,11-09,2.9,3.3,2.4,1,0,2.4,1
Getafe,Real Sociedad,5,11-09,4.2,3.1,2.0,2,1,2.0,1
Elche,Athletic Club,5,11-09,4.5,3.6,1.75,1,4,1.75,2
Real Madrid,Mallorca,5,11-09,1.3,5.75,8.5,4,1,1.3,1
Atletico Madrid,Celta Vigo,5,10-09,1.85,3.4,4.5,4,1,1.85,1
Cadiz,Barcelona,5,10-09,8.5,5.25,1.33,0,4,1.33,2
Espanyol,Sevilla,5,10-09,2.5,3.2,2.9,2,3,2.5,2
Rayo Vallecano,Valencia,5,10-09,2.75,3.0,2.87,2,2,2.75,1
Girona,Valladolid,5,09-09,2.0,3.4,4.0,2,2,2.0,1
Athletic Club,Rayo Vallecano,6,17-09,1.6,3.8,5.75,3,2,1.6,1
Atletico Madrid,Real Madrid,6,18-09,3.0,3.4,2.3,1,2,2.3,2
Barcelona,Elche,6,17-09,1.08,11.0,26.0,3,0,1.08,1
Real Betis,Girona,6,18-09,1.66,3.75,5.25,2,1,1.66,1
Valencia,Celta Vigo,6,17-09,2.3,3.1,3.3,3,0,2.3,1
Osasuna,Getafe,6,18-09,1.72,3.3,6.0,0,2,1.72,2
Valladolid,Cadiz,6,16-09,2.0,3.25,4.0,0,1,2.0,2
Real Sociedad,Espanyol,6,18-09,1.65,3.75,5.5,2,1,1.65,1
Villarreal,Sevilla,6,18-09,1.72,3.8,5.0,1,1,1.72,X
Mallorca,Almeria,6,17-09,1.9,3.25,4.5,1,0,1.9,1
Getafe,Valladolid,7,01-10,2.37,3.00,3.40,2,3,2.37,2
Cadiz,Villarreal,7,01-10,5.25,3.75,1.66,0,0,1.66,X
Espanyol,Valencia,7,02-10,2.75,3.30,2.55,2,2,2.55,X
Girona,Real Sociedad,7,02-10,3.10,3.20,2.40,3,5,2.40,2
Sevilla,Atletico Madrid,7,01-10,3.20,3.10,2.37,0,2,2.37,2
Mallorca,Barcelona,7,01-10,9.00,5.00,1.36,0,1,1.36,2
Celta Vigo,Real Betis,7,02-10,2.30,3.25,3.25,1,0,2.30,1
Rayo Vallecano,Elche,7,03-10,1.61,3.80,5.75,2,1,1.61,1
Real Madrid,Osasuna,7,02-10,1.36,5.25,7.50,1,1,1.36,X
Athletic Club,Almeria,7,30-09,1.33,5.00,9.50,4,0,1.33,1
Elche,Mallorca,8,10-10,2.87,3.10,2.60,1,1,2.60,X
Barcelona,Celta Vigo,8,09-10,1.28,6.00,9.50,1,0,1.28,1
Real Sociedad,Villarreal,8,09-10,2.50,3.40,2.75,1,0,2.50,1
Cadiz,Espanyol,8,09-10,2.87,3.10,2.60,2,2,2.60,X
Valladolid,Real Betis,8,09-10,2.80,3.40,2.40,0,0,2.40,X
Getafe,Real Madrid,8,08-10,7.00,4.50,1.40,0,1,1.40,2
Sevilla Athletic Club,8,08-10,3.40,3.40,2.15,1,1,2.15,X
Atletico Madrid,Girona,8,08-10,1.40,4.50,8.50,2,1,1.40,1
Almeria,Rayo Vallecano,8,08-10,3.20,3.20,2.37,3,1,2.37,1
Osasuna,Valencia,8,07-10,2.55,3.20,2.87,1,2,2.55,2
